BveTs Station List 2.00
sta0,新十津川,09:28:00,10:00:00,5,09:55:00,1,5,0.001,,,0,0
sta1,下徳富,10:07:00,10:07:30,5,10:07:00,0,5,0.001,,,0,0
sta2,南下徳富,10:10:00,10:10:30,5,10:10:00,0,5,0.001,,,0,0
sta3,於札内,10:13:00,10:13:30,5,10:13:00,0,5,0.001,,,0,0
sta4,鶴沼,10:17:00,10:17:30,5,10:17:00,0,5,0.001,,,0,0
sta5,浦臼,10:21:00,10:22:00,5,10:21:00,0,5,0.001,,,0,0
sta6,札的,10:25:00,10:25:30,5,10:25:00,0,5,0.004,,,0,0
sta7,晩生内,10:30:00,10:30:30,5,10:30:00,0,5,0.004,,,0,0
sta8,札比内,10:36:00,10:36:30,5,10:36:00,0,5,0.004,,,0,0
sta9,豊ヶ岡,10:41:00,10:41:30,5,10:41:00,0,5,0.004,,,0,0
sta10,石狩月形,10:47:00,10:49:00,5,10:47:00,1,5,0.004,,,0,0
sta11,知来乙,10:53:00,10:53:30,5,10:53:00,0,5,0.004,,,0,0
sta12,月ヶ岡,10:58:00,10:58:30,5,10:58:00,0,5,0.004,,,0,0
sta13,中小屋,11:02:00,11:02:30,5,11:02:00,0,5,0.005,,,0,0
sta14,本中小屋,11:07:00,11:07:30,5,11:07:00,0,5,0.005,,,0,0
sta15,石狩金沢,11:13:00,11:13:30,5,11:13:00,0,5,0.006,,,0,0
sta16,北海道医療大学,11:18:00,11:18:30,10,11:18:00,0,10,0.006,,,0,0
sta17,石狩当別,11:23:00,t,10,11:23:00,1,10,0.006,,,0,0
